incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1233,2023,6.0,WA,"denham, bottle bay",-25.51469,113.451781,Tiger shark,,Uninjured,
1234,2023,7.0,WA,"coral bay, five fingers reef",-23.1807,113.7622,Tiger shark,Spearfishing,Uninjured,1500
1235,2023,7.0,WA,"margaret river, gnarabup beach",-33.99029,114.99136,White shark,Surfing,Injured,845
1236,2023,7.0,WA,"yallingup lagoon, yallingup",-33.639823,115.023584,Other,Swimming,Injured,
1237,2023,8.0,NSW,"port macquarie, lighthouse beach",-31.4763,152.9337,White shark,Surfing,Injured,955
1238,2023,9.0,NSW,"lord howe island, little island",-31.5672,159.07338,Other,Surfing,Uninjured,1520
1239,2023,10.0,SA,"streaky bay, granites",-32.8812,134.0802,White shark,Surfing,Fatal,1020
1240,2023,11.0,WA,"exmouth, peak island",-21.60092,114.5091,Other,Spearfishing,Injured,
1241,2023,11.0,SA,"adelaide, port noarlunga jetty",-35.1497,138.4667,White shark,Snorkelling,Injured,
1242,2023,10.0,SA,"beachport jetty, beachport",-37.4819,140.0158,White shark,Swimming,Injured,745
1243,2023,11.0,QLD,"clack island, gbrmp",-14.06549,144.26335,Other,"Diving, Collecting",Injured,
1244,2023,11.0,NSW,"central coast, avoca beach",-33.469803,151.43704,Other,Surfing,Injured,1900
1245,2023,12.0,QLD,1770,-24.1516,151.8872,Bull shark,Swimming,Injured,1630
1246,2023,12.0,WA,wedge island,-30.824859,115.190853,Other,Wing Foiler,Injured,
1247,2023,12.0,NSW,"taree, old bar",-31.9715,152.5922,White shark,Surfing,Injured,1640
1248,2023,12.0,SA,"yorke peninsula, ethel beach",-35.2502,136.8269,White shark,Surfing,Fatal,1330
1249,2024,1.0,SA,"elliston, blacks",-33.6631,134.8967,White shark,Surfing,Injured,
1250,2024,1.0,NSW,brunswick heads,-28.5429,153.5582,Other,Wading,Injured,
1251,2024,1.0,NSW,"sydney harbour, elizabeth bay",-33.86965,151.229,Bull shark,Swimming,Injured,1945
1252,2024,2.0,WA,jurien bay,-30.210985,114.98928,Bull shark,Wading,Injured,1130
1253,2024,3.0,QLD,"bargara, nielson beach",-24.8055,152.4572,Tiger shark,Swimming,Injured,1600
1254,2024,4.0,SA,"adelaide, west beach",-34.94448,138.50025,White shark,Fishing,Injured,1350
1255,2024,4.0,WA,"exmouth, the bombie surfing spot",-21.799839,114.114785,Tiger shark,Surfing,Injured,1230
1256,2024,4.0,WA,"rockingham, mangles bay",-32.274963,115.714212,Other,Kayaking,Uninjured,1515
1257,2024,5.0,WA,"esperance, fourth beach",-33.88799,121.841715,White shark,Windsurfing,Uninjured,1630
1258,2024,6.0,WA,"broome, cape latouche treville",-18.444584,121.836412,Other,Spearfishing,Injured,1730
1259,2024,7.0,WA,"coral bay, fourteen mile camp beach",-23.304411,113.775002,Other,Spearfishing,Injured,1100
1260,2024,7.0,WA,"perth, trigg beach",-31.87798,115.750698,Other,Surfing,Injured,1735
1261,2024,7.0,NSW,"port macquarie, north shore",-31.42332,152.9153,White shark,Surfing,Injured,
1262,2024,7.0,WA,"houtman abrolhos, rat island",-28.71381,113.77736,Other,Snorkelling,Injured,1725
1263,2024,10.0,NSW,south west rocks,-30.8744,153.0632,Other,Scuba Diving,Injured,910
1264,2024,12.0,WA,"geraldton, greenough river mouth beach",-28.863762,114.634714,Other,Body Boarding,Injured,1030
